0	0.64	0.64	0	0.32	0	0	0	0	0	0	0.64	0	0	0	0.32	0	1.29	1.93	0
0.21	0.28	0.5	0	0.14	0.28	0.21	0.07	0	0.94	0.21	0.79	0.65	0.21	0.14	0.14	0.07	0.28	3.47	0
0.06	0	0.71	0	1.23	0.19	0.19	0.12	0.64	0.25	0.38	0.45	0.12	0	1.75	0.06	0.06	1.03	1.36	0.32
0	0	0	0	0.63	0	0.31	0.63	0.31	0.63	0.31	0.31	0.31	0	0	0.31	0	0	3.18	0
0	0	0	0	0.63	0	0.31	0.63	0.31	0.63	0.31	0.31	0.31	0	0	0.31	0	0	3.18	0
0	0	0	0	1.85	0	0	1.85	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	1.92	0	0	0	0	0.64	0.96	1.28	0	0	0	0.96	0	0.32	3.85	0
0	0	0	0	1.88	0	0	1.88	0	0	0	0	0	0	0	0	0	0	0	0
0.15	0	0.46	0	0.61	0	0.3	0	0.92	0.76	0.76	0.92	0	0	0	0	0	0.15	1.23	3.53
0.06	0.12	0.77	0	0.19	0.32	0.38	0	0.06	0	0	0.64	0.25	0	0.12	0	0	0.12	1.67	0.06
